               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.015642,           0.0060971,          0.00067525,             0.65961,             0.41487,              0.4289,             0.21455,            0.026604,            0.009178,            0.016293,            0.004654,            0.004654,            0.004654
                  56,            0.015369,           0.0060332,          0.00064639,             0.67265,             0.40677,              0.4286,             0.21475,            0.026619,           0.0092081,            0.016338,            0.004555,            0.004555,            0.004555
                  57,            0.015251,           0.0059996,           0.0007031,               0.681,             0.40242,             0.42855,             0.21563,            0.026621,           0.0092278,            0.016409,            0.004456,            0.004456,            0.004456
                  58,            0.015433,            0.006097,          0.00081915,             0.69184,              0.3972,             0.43063,             0.21631,            0.026622,           0.0092706,             0.01628,            0.004357,            0.004357,            0.004357
                  59,            0.015311,           0.0060297,          0.00072287,             0.70013,             0.39259,             0.43148,             0.21761,            0.026593,           0.0092748,            0.016208,            0.004258,            0.004258,            0.004258
                  60,            0.015284,           0.0059924,          0.00066442,              0.6755,             0.40838,             0.43174,              0.2181,            0.026602,            0.009275,            0.016217,            0.004159,            0.004159,            0.004159
                  61,            0.014882,           0.0059056,          0.00057836,             0.66864,             0.41327,             0.43061,             0.21823,            0.026611,           0.0092834,            0.016264,             0.00406,             0.00406,             0.00406
                  62,            0.014797,           0.0058677,          0.00052919,             0.66096,             0.41824,             0.43025,             0.21771,            0.026612,           0.0092871,            0.016328,            0.003961,            0.003961,            0.003961
                  63,            0.014703,           0.0058132,          0.00058719,             0.65975,             0.41727,             0.42922,             0.21796,            0.026602,           0.0092943,            0.016402,            0.003862,            0.003862,            0.003862
                  64,            0.014544,           0.0058131,          0.00059029,             0.68363,             0.40179,             0.42876,             0.21809,            0.026625,           0.0093206,            0.016476,            0.003763,            0.003763,            0.003763
                  65,            0.014536,           0.0057498,          0.00054267,             0.68234,             0.40252,             0.42813,             0.21835,            0.026623,           0.0093347,            0.016553,            0.003664,            0.003664,            0.003664
                  66,            0.014448,           0.0057538,          0.00053933,             0.67947,             0.40412,             0.42717,             0.21798,            0.026614,           0.0093428,            0.016613,            0.003565,            0.003565,            0.003565
                  67,            0.014426,           0.0057829,          0.00063427,             0.66677,             0.41088,             0.42639,             0.21755,            0.026625,           0.0093426,            0.016708,            0.003466,            0.003466,            0.003466
                  68,            0.014143,            0.005744,           0.0005966,             0.66296,             0.41294,             0.42607,             0.21767,             0.02664,           0.0093445,            0.016776,            0.003367,            0.003367,            0.003367
                  69,            0.014034,           0.0056659,          0.00051267,             0.66918,             0.41024,             0.42621,             0.21758,            0.026646,            0.009351,            0.016847,            0.003268,            0.003268,            0.003268
                  70,            0.013947,           0.0056642,          0.00048617,             0.67716,             0.40585,             0.42697,             0.21775,            0.026652,           0.0093618,            0.016889,            0.003169,            0.003169,            0.003169
                  71,              0.0138,           0.0056364,          0.00047295,             0.66827,             0.41098,             0.42624,             0.21763,            0.026668,           0.0093801,            0.016953,             0.00307,             0.00307,             0.00307
